  3147 FINDLEY       
  3196 FITZSIMONS    
  5310 KITTERA       
  8312 SCOTT         
   884 BOURN         
  5935 MALBONE       
  8702 SMITH  W.L.   
  4753 HUNTER        
 10275 WINN          
  3607 GILLON        
  7425 PICKENS       
  8639 SMITH  I.     
  6932 NILES         
  8148 RUTHERFORD    
  6625 MOORE         
  6883 NEVILLE       
  7603 PRESTON       
  4026 HANCOCK       
  1936 COLES         
  9658 VENABLE       
  1739 CLAIBORNE     
  3582 GILES         
  4127 HARRISON      
  7199 PARKER        
  7156 PAGE          
  3825 GRIFFIN       
  9739 WALKER        
  5903 MADISON       
  6886 NEW           
  5564 LEE           
  6911 NICHOLAS      
  4269 HEATH         
  2936 ELLSWORTH     
  6574 MITCHELL      
  9676 VINING        
  4854 JACKSON       
  3877 GUNN          
  2866 EDWARDS       
  1118 BROWN         
  7564 POTTS         
  4333 HENRY         
  9028 STRONG        
  1384 CABOT         
  5449 LANGDON       
  5713 LIVERMORE     
  3361 FRELINGHUYS   
  8150 RUTHERFURD    
  5270 KING          
  1302 BURR          
  4212 HAWKINS       
  6012 MARTIN        
  6712 MORRIS        
  8070 ROSS          
   951 BRADFORD      
  3315 FOSTER        
  1346 BUTLER        
  4837 IZARD         
  7989 ROBINSON      
   956 BRADLEY       
  9215 TAYLOR        
  6594 MONROE        
  1914 COIT          
  3678 GOODRICH      
  3846 GRISWOLD      
  8671 SMITH  N.     
  9127 SWIFT         
  4433 HILLHOUSE     
  9452 TRACY         
  2355 DAVENPORT     
  2316 DANA          
  7235 PATTEN        
  6472 MILLEDGE      
   379 BALDWIN       
  3798 GREENUP       
  7084 ORR           
  2512 DENT          
  8810 SPRIGG  R.    
  2125 CRABB         
  2139 CRAIK         
  8811 SPRIGG  T.    
  8678 SMITH  S.     
  1716 CHRISTIE      
  4441 HINDMAN       
  6830 MURRAY        
  8344 SEDGWICK      
  5852 LYMAN  W.     
  5850 LYMAN  S.     
  3303 FOSTER  D.    
  3358 FREEMAN       
  7788 REED          
   154 AMES          
  9650 VARNUM        
  3674 GOODHUE       
  8376 SEWALL        
   947 BRADBURY      
  2451 DEARBORN      
  9707 WADSWORTH     
  9268 THACHER       
  8644 SMITH  J.     
  3299 FOSTER  A.    
  3610 GILMAN        
  8448 SHERBURNE     
  5303 KITCHELL      
  8637 SMITH  ISAA   
  9353 THOMSON       
  4315 HENDERSON     
  5715 LIVINGSTON    
  4204 HAVENS        
  9602 VANCORTLAND   
  4193 HATHORN       
   351 BAILEY        
  3573 GILBERT       
  9591 VAN ALEN      
  3628 GLEN          
 10159 WILLIAMS      
  2058 COOPER        
  4519 HOLLAND       
  5734 LOCKE         
  3342 FRANKLIN      
  9187 TATOM         
  9048 STRUDWICK     
  5895 MACON         
  3594 GILLESPIE     
  3859 GROVE         
  1255 BURGES        
   805 BLOUNT        
  1176 BRYAN         
  9107 SWANWICK      
  6781 MUHLENBERG    
  9308 THOMAS        
  7870 RICHARDS      
  8555 SITGREAVES    
  4390 HIESTER       
  2881 EGE           
  5890 MACLAY        
  5310 KITTERA       
  4156 HARTLEY       
